State 1,State 2,Year,Gender,Age Group,Type of Area,Literacy Rate (%)
Andhra,Pradesh,2000,Male,15-24,Urban,"68.73"
Andhra,Pradesh,2000,Male,15-24,Rural,"97.54"
Andhra,Pradesh,2000,Male,25-34,Urban,"86.6"
Andhra,Pradesh,2000,Male,25-34,Rural,"79.93"
Andhra,Pradesh,2000,Male,35-44,Urban,"57.8"
Andhra,Pradesh,2000,Male,35-44,Rural,"57.8"
Andhra,Pradesh,2000,Male,45-54,Urban,"52.9"
Andhra,Pradesh,2000,Male,45-54,Rural,"93.31"
Andhra,Pradesh,2000,Male,55+,Urban,"80.06"
Andhra,Pradesh,2000,Male,55+,Rural,"85.4"
Andhra,Pradesh,2000,Female,15-24,Urban,"51.03"
Andhra,Pradesh,2000,Female,15-24,Rural,"98.5"
Andhra,Pradesh,2000,Female,25-34,Urban,"91.62"
Andhra,Pradesh,2000,Female,25-34,Rural,"60.62"
Andhra,Pradesh,2000,Female,35-44,Urban,"59.09"
Andhra,Pradesh,2000,Female,35-44,Rural,"59.17"
Andhra,Pradesh,2000,Female,45-54,Urban,"65.21"
Andhra,Pradesh,2000,Female,45-54,Rural,"76.24"
Andhra,Pradesh,2000,Female,55+,Urban,"71.6"
Andhra,Pradesh,2000,Female,55+,Rural,"64.56"
Andhra,Pradesh,2001,Male,15-24,Urban,"80.59"
Andhra,Pradesh,2001,Male,15-24,Rural,"56.97"
Andhra,Pradesh,2001,Male,25-34,Urban,"64.61"
Andhra,Pradesh,2001,Male,25-34,Rural,"68.32"
Andhra,Pradesh,2001,Male,35-44,Urban,"72.8"
Andhra,Pradesh,2001,Male,35-44,Rural,"89.26"
Andhra,Pradesh,2001,Male,45-54,Urban,"59.98"
Andhra,Pradesh,2001,Male,45-54,Rural,"75.71"
Andhra,Pradesh,2001,Male,55+,Urban,"79.62"
Andhra,Pradesh,2001,Male,55+,Rural,"52.32"
Andhra,Pradesh,2001,Female,15-24,Urban,"80.38"
Andhra,Pradesh,2001,Female,15-24,Rural,"58.53"
Andhra,Pradesh,2001,Female,25-34,Urban,"53.25"
Andhra,Pradesh,2001,Female,25-34,Rural,"97.44"
Andhra,Pradesh,2001,Female,35-44,Urban,"98.28"
Andhra,Pradesh,2001,Female,35-44,Rural,"90.42"
Andhra,Pradesh,2001,Female,45-54,Urban,"65.23"
Andhra,Pradesh,2001,Female,45-54,Rural,"54.88"
Andhra,Pradesh,2001,Female,55+,Urban,"84.21"
Andhra,Pradesh,2001,Female,55+,Rural,"72.01"
Andhra,Pradesh,2002,Male,15-24,Urban,"56.1"
Andhra,Pradesh,2002,Male,15-24,Rural,"74.76"
Andhra,Pradesh,2002,Male,25-34,Urban,"51.72"
Andhra,Pradesh,2002,Male,25-34,Rural,"95.47"
Andhra,Pradesh,2002,Male,35-44,Urban,"62.94"
